claim_id,claim_number,policy_id,policy_number,account_id,account_name,claim_type,severity,industry,region,paid_amount,reserve_amount,expense_amount,recovery_amount,adjustment_amount,valuation_date,incurred_amount,current_status,loss_date,reported_date,review_priority,claim_summary
CLM-0002,CLM-10002,POL-001,PN-10001,ACC-009,Global Insurance Account 9,Bodily Injury,Low,Retail,North America,0.0,5193.96,0.0,0.0,0.0,2024-06-30,5193.96,Open,2024-04-26,2024-05-06,Normal,"As of 2024-06-30, claim CLM-10002 is Open with Low severity. The claim has paid amount of 0.00, reserve amount of 5193.96, expense amount of 0.00, and total incurred amount of 5193.96. Review priority is Normal."
CLM-0004,CLM-10004,POL-006,PN-10006,ACC-005,Global Insurance Account 5,Bodily Injury,High,Construction,North America,0.0,0.0,0.0,-6997.47,0.0,2024-06-30,0.0,Reopened,2024-04-17,2024-04-26,Normal,"As of 2024-06-30, claim CLM-10004 is Reopened with High severity. The claim has paid amount of 0.00, reserve amount of 0.00, expense amount of 0.00, and total incurred amount of 0.00. Review priority is Normal."
CLM-0007,CLM-10007,POL-014,PN-10014,ACC-007,Global Insurance Account 7,Medical,Low,Manufacturing,North America,0.0,0.0,10196.75,0.0,0.0,2024-06-30,10196.75,Closed,2024-01-17,2024-01-28,Normal,"As of 2024-06-30, claim CLM-10007 is Closed with Low severity. The claim has paid amount of 0.00, reserve amount of 0.00, expense amount of 10196.75, and total incurred amount of 10196.75. Review priority is Normal."
CLM-0013,CLM-10013,POL-011,PN-10011,ACC-010,Global Insurance Account 10,Auto Damage,Medium,Financial Services,Europe,9165.13,0.0,0.0,0.0,0.0,2024-06-30,9165.13,Open,2024-03-22,2024-04-05,Normal,"As of 2024-06-30, claim CLM-10013 is Open with Medium severity. The claim has paid amount of 9165.13, reserve amount of 0.00, expense amount of 0.00, and total incurred amount of 9165.13. Review priority is Normal."
CLM-0015,CLM-10015,POL-011,PN-10011,ACC-010,Global Insurance Account 10,Legal Expense,Medium,Financial Services,Europe,0.0,19790.68,0.0,-21868.09,0.0,2024-06-30,19790.68,Reopened,2024-02-28,2024-03-17,Normal,"As of 2024-06-30, claim CLM-10015 is Reopened with Medium severity. The claim has paid amount of 0.00, reserve amount of 19790.68, expense amount of 0.00, and total incurred amount of 19790.68. Review priority is Normal."
CLM-0017,CLM-10017,POL-012,PN-10012,ACC-001,Global Insurance Account 1,Property Damage,Low,Construction,North America,21987.44,0.0,0.0,0.0,0.0,2024-06-30,21987.44,Reopened,2024-05-14,2024-05-31,Normal,"As of 2024-06-30, claim CLM-10017 is Reopened with Low severity. The claim has paid amount of 21987.44, reserve amount of 0.00, expense amount of 0.00, and total incurred amount of 21987.44. Review priority is Normal."
CLM-0019,CLM-10019,POL-006,PN-10006,ACC-005,Global Insurance Account 5,Auto Damage,High,Construction,North America,0.0,0.0,15767.31,0.0,11696.02,2024-06-30,27463.33,Open,2024-03-23,2024-04-10,High,"As of 2024-06-30, claim CLM-10019 is Open with High severity. The claim has paid amount of 0.00, reserve amount of 0.00, expense amount of 15767.31, and total incurred amount of 27463.33. Review priority is High."
CLM-0021,CLM-10021,POL-004,PN-10004,ACC-001,Global Insurance Account 1,Auto Damage,Low,Construction,North America,0.0,0.0,0.0,-11332.92,28857.48,2024-06-30,28857.48,Open,2024-01-30,2024-02-07,Normal,"As of 2024-06-30, claim CLM-10021 is Open with Low severity. The claim has paid amount of 0.00, reserve amount of 0.00, expense amount of 0.00, and total incurred amount of 28857.48. Review priority is Normal."
CLM-0026,CLM-10026,POL-008,PN-10008,ACC-002,Global Insurance Account 2,Property Damage,Medium,Manufacturing,APAC,0.0,7157.02,0.0,-2398.34,2474.15,2024-06-30,9631.17,Open,2024-03-02,2024-03-10,Normal,"As of 2024-06-30, claim CLM-10026 is Open with Medium severity. The claim has paid amount of 0.00, reserve amount of 7157.02, expense amount of 0.00, and total incurred amount of 9631.17. Review priority is Normal."
CLM-0028,CLM-10028,POL-002,PN-10002,ACC-004,Global Insurance Account 4,Bodily Injury,Medium,Retail,North America,0.0,20905.83,7816.01,-13686.4,33497.86,2024-06-30,62219.7,Open,2024-01-31,2024-02-08,Normal,"As of 2024-06-30, claim CLM-10028 is Open with Medium severity. The claim has paid amount of 0.00, reserve amount of 20905.83, expense amount of 7816.01, and total incurred amount of 62219.70. Review priority is Normal."
